bp0,bs0,bp1,bs1,bp2,bs2,bp3,bs3,bp4,bs4,bp5,bs5,bp6,bs6,bp7,bs7
238,39,269,145,271,324,243,519,223,634,242,841,286,817,299,672
261,430,251,551,228,634,243,826,277,815,288,658,279,475,268,101
209,929,233,878,258,821,281,671,266,471,250,109,257,49,297,155
243,1006,272,688,256,481,254,112,251,45,283,157,298,320,1513,1312
254,224,242,91,240,39,272,158,274,310,266,477,258,641,1392,1421
240,21,263,148,272,295,258,464,243,626,242,825,1531,1712,1178,944
245,354,255,453,213,626,240,816,275,816,313,702,1664,1245,1360,691
201,884,239,826,261,827,295,701,294,496,1220,720,1440,807,1579,1008
251,955,283,692,263,499,263,160,1114,606,1561,1018,1219,902,286,321
247,466,247,163,249,19,287,162,1292,944,1409,1191,1520,1216,254,303
223,3,263,136,262,283,271,456,1389,1367,1205,1127,300,331,295,665
240,349,257,453,227,611,1401,1586,1364,1307,1421,947,286,66,247,144
219,887,236,848,272,831,1412,1485,1149,794,256,16,259,13,263,141
242,1040,288,733,974,1044,1254,693,1393,775,269,144,270,278,272,425
257,506,258,183,1274,757,960,560,282,256,255,398,238,598,214,800
227,3,1062,551,1074,809,983,816,237,377,227,784,256,815,283,703
263,334,794,754,1071,1042,235,451,252,798,284,697,259,517,239,197
787,1283,982,1165,257,599,272,693,258,503,242,189,235,6,250,138
251,1061,270,719,256,522,228,197,236,8,242,147,266,263,254,424
251,528,234,186,224,6,255,144,251,256,249,434,225,611,226,813
221,0,253,133,257,267,245,433,216,607,213,816,246,831,273,718
253,347,254,460,218,609,221,807,256,827,266,713,256,511,234,198
204,898,225,850,250,831,272,713,258,510,237,181,237,14,252,145
240,1059,281,726,258,507,237,177,231,16,254,146,263,286,242,440
238,517,243,173,221,13,257,151,274,273,249,445,219,617,214,818
224,14,259,136,260,273,245,447,224,624,227,821,260,821,275,705
704,646,263,441,226,609,233,805,252,818,276,705,265,505,241,176
208,915,925,1262,263,641,290,688,271,494,243,153,240,27,262,144
245,1046,1035,1103,779,654,254,0,241,29,258,153,262,290,249,434
257,496,259,145,688,386,276,151,277,279,251,458,229,629,233,809
229,18,266,141,1135,902,1152,934,240,345,240,778,262,815,286,694
257,365,255,483,231,640,929,1345,282,589,294,670,270,480,246,141
201,923,241,866,273,825,1468,1551,1191,795,258,0,242,40,272,150
291,1008,287,702,262,495,1269,825,1486,880,282,147,274,288,257,461
247,487,256,116,238,46,286,173,1180,850,276,395,238,613,240,826
220,32,266,144,274,304,272,475,1489,1491,1488,1371,279,271,293,654
257,375,253,492,229,631,240,821,284,826,1463,1488,1744,1147,274,0
144,899,239,852,266,816,289,686,272,484,276,119,1341,741,1419,914
242,946,283,683,259,480,237,106,256,48,277,174,304,317,1346,1195
242,230,240,88,235,42,271,161,263,303,266,476,239,639,261,835
226,35,269,144,263,343,250,477,227,631,240,822,275,810,299,688
258,336,244,511,215,624,224,834,272,818,297,685,273,467,257,111
219,913,239,880,257,815,288,679,267,480,243,108,256,47,276,155
247,1008,286,675,246,473,242,112,250,46,262,165,263,309,257,478
240,480,241,102,250,47,275,163,272,304,258,465,240,635,255,833
237,31,272,145,271,311,249,475,228,640,240,821,279,816,300,685
267,395,256,503,233,646,251,832,271,823,299,669,341,477,263,111
218,921,247,877,272,819,295,687,272,474,249,109,255,46,273,147
260,1006,293,697,258,480,246,109,250,45,273,158,273,311,265,478
249,464,241,112,240,47,278,158,272,304,260,476,240,625,240,823
238,35,277,147,265,312,256,481,233,627,240,832,272,809,290,678
268,399,253,509,225,635,234,832,273,821,282,685,274,475,267,112
215,915,241,872,252,816,288,693,270,483,246,113,256,48,285,163
240,1023,282,701,265,492,243,119,240,45,272,160,285,304,883,859
243,309,242,106,229,39,265,151,272,289,268,471,589,880,1005,1136
224,23,273,142,256,297,254,456,240,625,240,830,1031,1307,997,944
257,367,241,463,219,631,238,817,266,816,761,991,940,733,1279,619
207,887,225,832,258,823,275,695,273,495,1103,687,781,343,279,145
239,1021,287,701,249,496,244,146,558,239,956,614,859,633,261,,
240,486,240,149,238,27,272,158,884,686,734,651,240,430,235,802
225,9,256,133,264,271,258,435,903,1070,898,1041,271,433,294,688
243,339,251,464,230,612,718,1116,794,954,296,308,267,482,240,199
208,896,222,849,251,827,955,1197,280,300,240,183,253,11,256,137
237,1066,279,743,871,987,938,575,241,2,258,143,269,256,253,405
240,540,256,229,656,285,246,137,271,249,243,402,219,595,224,776
221,5,885,431,263,217,253,388,224,592,223,773,255,832,272,750
566,492,257,375,217,579,219,764,245,839,260,743,262,560,242,293
215,880,207,791,234,831,262,745,250,574,246,304,219,6,238,115
221,1088,266,773,256,573,240,322,228,1,254,117,260,208,243,371
256,599,243,345,224,14,239,108,250,206,256,369,239,573,209,720
209,2,231,91,240,177,235,363,225,583,212,708,229,842,269,795
240,195,257,341,219,575,208,705,240,835,263,797,266,617,238,414
